State,avg_american,count_american,avg_italian,count_italian,avg_chinese,count_chinese,avg_japanese,count_japanese,avg_indian,count_indian,avg_mexican,count_mexican,,,,
Arizona,3.5,235,3.508196721,183,3.389189189,185,3.463855422,83,3.594594595,37,3.399793388,484,,,,
Illinois,3.181818182,11,3.071428571,7,3.28125,16,2.8,5,3.7,5,3.717391304,23,,,,
North Carolina,3.543209877,81,3.322033898,59,3.231343284,67,3.532258065,31,3.5,15,3.461165049,103,,,,
Nevada,3.654135338,133,3.465116279,129,3.414383562,146,3.764705882,85,3.375,8,3.539370079,254,,,,
Ohio,3.445945946,148,3.463157895,95,3.322916667,96,3.612903226,31,3.90625,16,3.271276596,94,,,,
Pennsylvania,3.467032967,91,3.398148148,108,3.371428571,70,3.388888889,18,3.5,14,3.340425532,47,,,,
South Carolina,2.7,5,3.285714286,7,3.363636364,11,3.333333333,3,4,1,3.363636364,11,,,,
Wisconsin,2.956521739,23,3.338235294,34,3.321428571,42,3.75,10,3.583333333,6,3.474358974,39,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,